ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
00981.HK,2025-10-02,80.15,90.35,80.1,89.65,67389636,5840577536.0,12.7
00981.HK,2025-10-03,90.35,91.35,88.65,90.9,34462352,3102587936.0,1.39
00981.HK,2025-10-06,90.5,92.8,87.4,91.05,43900768,3953173088.0,0.17
00981.HK,2025-10-08,91.0,91.5,87.7,89.5,38845844,3468659232.0,-1.7
00981.HK,2025-10-09,88.4,93.5,82.5,83.5,303809232,26499269888.0,-6.7
00981.HK,2025-10-10,81.95,82.65,76.65,77.55,203174461,16039839488.0,-7.13
00981.HK,2025-10-13,75.5,81.4,75.5,80.15,265993481,21053000192.0,3.35
00981.HK,2025-10-14,81.8,81.85,72.1,73.35,210423170,15877622016.0,-8.48
00981.HK,2025-10-15,74.2,76.15,71.5,76.0,135742186,10055792384.0,3.61
00981.HK,2025-10-16,76.0,76.2,72.6,73.9,89385266,6646206976.0,-2.76
00981.HK,2025-10-17,73.65,74.1,68.35,69.1,166659866,11670648320.0,-6.5
00981.HK,2025-10-20,71.6,72.75,70.2,71.8,85998261,6154771200.0,3.91
00981.HK,2025-10-21,73.3,76.4,72.85,74.05,121886166,9150416896.0,3.13
00981.HK,2025-10-22,73.85,75.9,72.5,74.85,82298535,6133300480.0,1.08
00981.HK,2025-10-23,74.5,75.0,71.85,74.05,91305190,6709751040.0,-1.07
00981.HK,2025-10-24,75.7,80.05,75.7,80.0,154628465,12097320448.0,8.04
00981.HK,2025-10-27,82.95,83.8,80.8,82.8,143794946,11878770688.0,3.5
00981.HK,2025-10-28,82.8,85.5,80.05,80.1,124471245,10274836224.0,-3.26
00981.HK,2025-10-30,81.95,82.4,77.3,79.2,141883664,11245295872.0,-1.12
00981.HK,2025-10-31,79.2,79.2,74.6,75.0,108145564,8204539392.0,-5.3
00981.HK,2025-11-03,74.2,75.2,71.3,72.85,95882523,6944375296.0,-2.87
00981.HK,2025-11-04,73.6,75.45,71.65,71.85,74920975,5499102976.0,-1.37
00981.HK,2025-11-05,70.0,72.35,69.35,71.7,76003489,5361959936.0,-0.21
00981.HK,2025-11-06,73.55,77.75,72.85,76.95,118576840,8930187008.0,7.32
00981.HK,2025-11-07,75.75,77.95,74.7,75.45,58051968,4413125376.0,-1.95
00981.HK,2025-11-10,76.0,76.7,72.5,74.7,74373722,5495250688.0,-0.99
00981.HK,2025-11-11,75.45,75.6,71.55,72.65,70851474,5177861376.0,-2.74
00981.HK,2025-11-12,72.5,73.55,70.7,73.25,66485006,4797348864.0,0.83
00981.HK,2025-11-13,72.85,75.6,71.7,75.6,88521178,6548446720.0,3.21
00981.HK,2025-11-14,74.25,77.25,73.2,73.5,93053916,6999751168.0,-2.78
00981.HK,2025-11-17,73.8,75.65,72.8,72.95,60837818,4507146752.0,-0.75
00981.HK,2025-11-18,72.65,75.65,72.2,74.0,69119836,5140533504.0,1.44
00981.HK,2025-11-19,74.6,74.75,72.05,73.0,49252284,3600236176.0,-1.35
00981.HK,2025-11-20,74.6,75.25,72.3,73.5,59009341,4345727488.0,0.68
00981.HK,2025-11-21,71.1,71.95,68.6,68.8,107859632,7538430208.0,-6.39
00981.HK,2025-11-24,69.05,69.55,63.7,68.05,146771590,9721540352.0,-1.09
00981.HK,2025-11-25,68.9,70.25,66.9,67.95,77251132,5306909184.0,-0.15
00981.HK,2025-11-26,67.8,69.95,66.9,68.85,48414677,3324895744.0,1.32
00981.HK,2025-11-27,69.15,71.8,68.15,68.35,67041842,4692901120.0,-0.73
00981.HK,2025-11-28,69.6,69.6,67.9,68.8,34635482,2380158688.0,0.66
00981.HK,2025-12-01,68.9,69.95,67.85,69.45,36618423,2532143776.0,0.94
00981.HK,2025-12-02,69.35,69.65,68.05,68.65,23942332,1643697392.0,-1.15
00981.HK,2025-12-03,68.15,69.25,66.85,67.2,35626389,2414488064.0,-2.11
00981.HK,2025-12-04,67.3,70.25,66.55,69.8,50376074,3464806368.0,3.87
00981.HK,2025-12-05,69.75,70.9,68.55,69.75,45551129,3185007808.0,-0.07
00981.HK,2025-12-08,70.2,72.9,70.15,71.8,69233641,4987910912.0,2.94
00981.HK,2025-12-09,70.6,71.0,68.45,68.85,66229434,4607931904.0,-4.11
00981.HK,2025-12-10,69.3,69.35,67.2,68.7,44357583,3008830800.0,-0.22
00981.HK,2025-12-11,69.0,69.25,66.55,67.15,49462751,3336579008.0,-2.26
00981.HK,2025-12-12,67.6,68.65,65.35,67.7,59855565,4013006720.0,0.82
00981.HK,2025-12-15,68.0,68.0,64.45,64.7,67089126,4402278400.0,-4.43
00981.HK,2025-12-16,64.5,65.15,62.0,63.45,64784997,4081880320.0,-1.93
00981.HK,2025-12-17,63.05,65.2,63.05,64.75,40298935,2593098160.0,2.05
00981.HK,2025-12-18,64.0,65.6,63.65,64.7,39415584,2550990720.0,-0.08
00981.HK,2025-12-19,65.45,66.15,64.8,65.05,39163474,2561376272.0,0.54
00981.HK,2025-12-22,66.0,70.45,65.95,68.9,91315684,6275741696.0,5.92
00981.HK,2025-12-23,69.5,70.35,68.3,68.9,49966498,3462248496.0,0.0
00981.HK,2025-12-24,70.35,72.5,70.35,71.05,69359801,4956364800.0,3.12
00981.HK,2025-12-29,71.5,73.7,69.55,69.55,77352135,5539644416.0,-2.11
00981.HK,2025-12-30,71.5,73.15,70.45,72.5,93554254,6743620864.0,4.24
00981.HK,2025-12-31,72.9,73.45,71.2,71.45,33185970,2398272192.0,-1.45
00981.HK,2026-01-02,71.45,75.4,70.8,75.1,40669802,3029361264.0,5.11
00981.HK,2026-01-05,75.8,78.3,75.05,76.5,129977658,9955751424.0,1.86
00981.HK,2026-01-06,77.0,78.9,75.4,75.6,100574288,7747964928.0,-1.18
00981.HK,2026-01-07,76.4,76.7,73.7,74.7,98807996,7393201408.0,-1.19
00981.HK,2026-01-08,74.6,77.45,74.1,74.95,92810803,7054325248.0,0.33
00981.HK,2026-01-09,75.5,76.25,73.5,74.4,71074224,5292258816.0,-0.73
00981.HK,2026-01-12,74.5,75.5,73.35,75.3,64618788,4811958784.0,1.21
00981.HK,2026-01-13,75.2,76.15,73.25,74.45,69713451,5190603776.0,-1.13
00981.HK,2026-01-14,74.6,76.45,74.15,75.95,80458547,6069374720.0,2.01
00981.HK,2026-01-15,75.5,78.4,74.95,77.35,72736228,5574170880.0,1.84
00981.HK,2026-01-16,78.8,79.7,77.6,79.2,88248919,6964284928.0,2.39
00981.HK,2026-01-19,79.2,80.1,77.0,77.0,52927092,4128915760.0,-2.78
00981.HK,2026-01-20,77.4,77.6,73.75,74.5,65838024,4930807552.0,-3.25
00981.HK,2026-01-21,73.45,77.75,73.35,77.25,75590192,5792655872.0,3.69
00981.HK,2026-01-22,78.5,79.45,76.4,77.85,50921076,3962351184.0,0.78
00981.HK,2026-01-23,78.5,78.55,76.85,78.1,36489263,2829325424.0,0.32
00981.HK,2026-01-26,77.4,77.45,74.7,75.55,53747542,4061396352.0,-3.27
00981.HK,2026-01-27,75.5,77.15,73.95,76.6,60791315,4602074624.0,1.39
00981.HK,2026-01-28,77.2,79.9,77.15,79.3,98301722,7740920320.0,3.52
00981.HK,2026-01-29,79.7,79.8,75.85,77.25,74734384,5781591296.0,-2.59
00981.HK,2026-01-30,76.0,77.0,74.5,75.4,52788932,4001555552.0,-2.39
00981.HK,2026-02-02,75.0,75.0,70.85,72.2,97837858,7082961920.0,-4.24
00981.HK,2026-02-03,73.2,73.7,69.35,70.45,92793142,6581260032.0,-2.42
00981.HK,2026-02-04,69.8,69.85,67.8,68.75,69297925,4761605376.0,-2.41
00981.HK,2026-02-05,67.2,67.8,65.5,67.45,75575663,5029573120.0,-1.89
00981.HK,2026-02-06,66.0,69.05,65.75,67.6,53161260,3596186464.0,0.22
00981.HK,2026-02-09,69.6,71.75,69.0,70.35,54489471,3829588096.0,4.07
00981.HK,2026-02-10,71.2,71.95,70.15,71.55,45008675,3207609904.0,1.71
