date_str,tushare_close,tushare_vol,tushare_amount,akshare_raw_close,akshare_raw_vol,akshare_raw_amount,akshare_qfq_close,akshare_qfq_vol,akshare_qfq_amount,yfinance_close,yfinance_volume
2024-08-22,3.379,12504794.15,4229630.78,3.379,12504794,4229630780.0,3.168,12504794,4229630780.0,3.220808506011963,1250479415.0
2024-08-23,3.393,8203428.0,2781431.192,3.393,8203428,2781431192.0,3.182,8203428,2781431192.0,3.2341527938842773,820342800.0
2024-08-26,3.394,14006799.14,4747763.549,3.394,14006799,4747763549.0,3.183,14006799,4747763549.0,3.2351062297821045,1400679914.0
2024-08-27,3.377,12142200.97,4098131.754,3.377,12142201,4098131754.0,3.166,12142201,4098131754.0,3.218902111053467,1214220097.0
2024-08-28,3.357,19955802.76,6698906.857,3.357,19955803,6698906857.0,3.146,19955803,6698906857.0,3.199838399887085,1995580276.0
2024-08-29,3.347,15082477.43,5052924.865,3.347,15082477,5052924865.0,3.136,15082477,5052924865.0,3.1903064250946045,1508247743.0
2024-08-30,3.392,17858998.11,6055678.708,3.392,17858998,6055678708.0,3.181,17858998,6055678708.0,3.2331998348236084,1785899811.0
2024-09-02,3.332,11333065.0,3798026.307,3.332,11333065,3798026307.0,3.121,11333065,3798026307.0,3.176008939743042,1133306500.0
2024-09-03,3.344,12935523.08,4323110.376,3.344,12935523,4323110376.0,3.133,12935523,4323110376.0,3.1874470710754395,1293552308.0
2024-09-04,3.323,6803058.0,2264442.533,3.323,6803058,2264442533.0,3.112,6803058,2264442533.0,3.1674299240112305,680305800.0
2024-09-05,3.33,16005557.57,5326213.535,3.33,16005558,5326213535.0,3.119,16005558,5326213535.0,3.174102306365967,1600555757.0
2024-09-06,3.302,7933157.0,2635539.673,3.302,7933157,2635539673.0,3.091,7933157,2635539673.0,3.1474132537841797,793315700.0
2024-09-09,3.261,10188971.04,3333497.562,3.261,10188971,3333497562.0,3.05,10188971,3333497562.0,3.108332633972168,1018897104.0
2024-09-10,3.261,8666554.38,2821540.043,3.261,8666554,2821540043.0,3.05,8666554,2821540043.0,3.108332633972168,866655438.0
2024-09-11,3.254,7808901.93,2540394.225,3.254,7808902,2540394225.0,3.043,7808902,2540394225.0,3.1016604900360107,780890193.0
2024-09-12,3.243,6423793.17,2090444.738,3.243,6423793,2090444738.0,3.032,6423793,2090444738.0,3.0911755561828613,642379317.0
2024-09-13,3.228,8504680.92,2758508.174,3.228,8504681,2758508174.0,3.017,8504681,2758508174.0,3.0768775939941406,850468092.0
2024-09-18,3.238,12254390.69,3961249.915,3.238,12254391,3961249915.0,3.027,12254391,3961249915.0,3.086409330368042,1225439069.0
2024-09-19,3.265,16348870.21,5332278.336,3.265,16348870,5332278336.0,3.054,16348870,5332278336.0,3.11214542388916,1634887021.0
2024-09-20,3.274,23065619.83,7514201.387,3.274,23065620,7514201387.0,3.063,23065620,7514201387.0,3.1207239627838135,2306561983.0
2024-09-23,3.283,8973165.34,2948484.47,3.283,8973165,2948484470.0,3.072,8973165,2948484470.0,3.129302501678467,897316534.0
2024-09-24,3.427,39185162.17,13212614.699,3.427,39185162,13212614699.0,3.216,39185162,13212614699.0,3.266561269760132,3918516217.0
2024-09-25,3.474,32373469.37,11342949.01,3.474,32373469,11342949010.0,3.263,32373469,11342949010.0,3.3113608360290527,3237346937.0
2024-09-26,3.64,44429621.41,15792061.339,3.64,44429621,15792061339.0,3.429,44429621,15792061339.0,3.4695894718170166,4442962141.0
2024-09-27,3.869,25594611.61,9610052.344,3.869,25594612,9610052344.0,3.658,25594612,9610052344.0,3.687868356704712,2559461161.0
2024-09-30,4.233,63702340.83,25799279.642,4.233,63702341,25799279642.0,4.022,63702341,25799279642.0,4.03482723236084,6370234083.0
2024-10-08,4.412,86298224.38,38303717.305,4.412,86298224,38303717305.0,4.201,86298224,38303717305.0,4.205447196960449,8629822438.0
2024-10-09,4.022,54091965.72,22450547.643,4.022,54091966,22450547643.0,3.811,54091966,22450547643.0,3.833705425262451,5409196572.0
2024-10-10,4.086,37790000.75,15473060.494,4.086,37790001,15473060494.0,3.875,37790001,15473060494.0,3.894709348678589,3779000075.0
2024-10-11,3.977,40900777.41,16347430.929,3.977,40900777,16347430929.0,3.766,40900777,16347430929.0,3.7908122539520264,4090077741.0
2024-10-14,4.04,31049317.45,12444027.076,4.04,31049317,12444027076.0,3.829,31049317,12444027076.0,3.850862979888916,3104931745.0
2024-10-15,3.931,26138707.43,10426846.503,3.931,26138707,10426846503.0,3.72,26138707,10426846503.0,3.7469658851623535,2613870743.0
2024-10-16,3.906,21611196.28,8450464.021,3.906,21611196,8450464021.0,3.695,21611196,8450464021.0,3.723136186599731,2161119628.0
2024-10-17,3.863,29354356.21,11450617.81,3.863,29354356,11450617810.0,3.652,29354356,11450617810.0,3.6821494102478023,2935435621.0
2024-10-18,4.016,36209178.93,14349439.594,4.016,36209179,14349439594.0,3.805,36209179,14349439594.0,3.827986478805542,3620917893.0
2024-10-21,4.016,25293363.95,10167737.315,4.016,25293364,10167737315.0,3.805,25293364,10167737315.0,3.827986478805542,2529336395.0
2024-10-22,4.04,16669244.99,6711416.525,4.04,16669245,6711416525.0,3.829,16669245,6711416525.0,3.850862979888916,1666924499.0
2024-10-23,4.055,22666292.09,9196021.921,4.055,22666292,9196021921.0,3.844,22666292,9196021921.0,3.8651604652404785,2266629209.0
2024-10-24,4.011,15982487.21,6418011.399,4.011,15982487,6418011399.0,3.8,15982487,6418011399.0,3.823220729827881,1598248721.0
2024-10-25,4.04,16852658.2,6801807.389,4.04,16852658,6801807389.0,3.829,16852658,6801807389.0,3.850862979888916,1685265820.0
2024-10-28,4.046,13963081.41,5622580.497,4.046,13963081,5622580497.0,3.835,13963081,5622580497.0,3.856582164764404,1396308141.0
2024-10-29,4.013,17946281.59,7237339.621,4.013,17946282,7237339621.0,3.802,17946282,7237339621.0,3.825126886367798,1794628159.0
2024-10-30,3.971,18128591.09,7210707.53,3.971,18128591,7210707530.0,3.76,18128591,7210707530.0,3.785093069076538,1812859109.0
2024-10-31,3.971,17636492.56,7004839.523,3.971,17636493,7004839523.0,3.76,17636493,7004839523.0,3.785093069076538,1763649256.0
2024-11-01,3.979,18177560.19,7259471.612,3.979,18177560,7259471612.0,3.768,18177560,7259471612.0,3.7927188873291016,1817756019.0
2024-11-04,4.032,12493143.86,4997179.234,4.032,12493144,4997179234.0,3.821,12493144,4997179234.0,3.843237400054931,1249314386.0
2024-11-05,4.137,27630144.44,11308231.751,4.137,27630144,11308231751.0,3.926,27630144,11308231751.0,3.943321704864502,2763014444.0
2024-11-06,4.111,21734247.6,8976072.158,4.111,21734248,8976072158.0,3.9,21734248,8976072158.0,3.918539047241211,2173424760.0
2024-11-07,4.248,27887189.24,11598082.835,4.248,27887189,11598082835.0,4.037,27887189,11598082835.0,4.0491251945495605,2788718924.0
2024-11-08,4.194,28080231.6,11867165.449,4.194,28080232,11867165449.0,3.983,28080232,11867165449.0,3.997653007507324,2808023160.0
2024-11-11,4.215,23043651.36,9617369.865,4.215,23043651,9617369865.0,4.004,23043651,9617369865.0,4.017670631408691,2304365136.0
2024-11-12,4.169,23041667.76,9698713.979,4.169,23041668,9698713979.0,3.958,23041668,9698713979.0,3.973823785781861,2304166776.0
2024-11-13,4.195,15727943.47,6569000.903,4.195,15727943,6569000903.0,3.984,15727943,6569000903.0,3.9986066818237305,1572794347.0
2024-11-14,4.124,14438852.6,6015521.584,4.124,14438853,6015521584.0,3.913,14438853,6015521584.0,3.930930614471435,1443885260.0
2024-11-15,4.055,16769935.42,6875318.302,4.055,16769935,6875318302.0,3.844,16769935,6875318302.0,3.8651604652404785,1676993542.0
2024-11-18,4.038,16100925.84,6552723.785,4.038,16100926,6552723785.0,3.827,16100926,6552723785.0,3.84895658493042,1610092584.0
2024-11-19,4.058,16705449.2,6731130.787,4.058,16705449,6731130787.0,3.847,16705449,6731130787.0,3.8680202960968018,1670544920.0
2024-11-20,4.068,15485304.34,6285302.021,4.068,15485304,6285302021.0,3.857,15485304,6285302021.0,3.877552032470703,1548530434.0
2024-11-21,4.073,10454706.81,4249179.703,4.073,10454707,4249179703.0,3.862,10454707,4249179703.0,3.882317781448364,1045470681.0
2024-11-22,3.953,17571912.5,7058103.342,3.953,17571913,7058103342.0,3.742,17571913,7058103342.0,3.767935991287231,1757191250.0
2024-11-25,3.931,13590857.69,5349569.691,3.931,13590858,5349569691.0,3.72,13590858,5349569691.0,3.7469658851623535,1359085769.0
2024-11-26,3.923,7847078.86,3086739.74,3.923,7847079,3086739740.0,3.712,7847079,3086739740.0,3.739340543746948,784707886.0
2024-11-27,3.987,14519873.66,5739351.636,3.987,14519874,5739351636.0,3.776,14519874,5739351636.0,3.800344228744507,1451987366.0
2024-11-28,3.958,10724072.89,4256335.685,3.958,10724073,4256335685.0,3.747,10724073,4256335685.0,3.7727017402648926,1072407289.0
2024-11-29,4.001,15297716.04,6126864.756,4.001,15297716,6126864756.0,3.79,15297716,6126864756.0,3.8136885166168217,1529771604.0
2024-12-02,4.031,9816347.81,3948066.718,4.031,9816348,3948066718.0,3.82,9816348,3948066718.0,3.8422844409942623,981634781.0
2024-12-03,4.035,15244237.07,6140454.912,4.035,15244237,6140454912.0,3.824,15244237,6140454912.0,3.8460967540740967,1524423707.0
2024-12-04,4.014,10069479.18,4047901.833,4.014,10069479,4047901833.0,3.803,10069479,4047901833.0,3.826080083847046,1006947918.0
2024-12-05,4.007,7595229.18,3042872.203,4.007,7595229,3042872203.0,3.796,7595229,3042872203.0,3.8194077014923096,759522918.0
2024-12-06,4.057,17762293.82,7198784.38,4.057,17762294,7198784380.0,3.846,17762294,7198784380.0,3.867067337036133,1776229382.0
2024-12-09,4.054,12464186.85,5050072.365,4.054,12464187,5050072365.0,3.843,12464187,5050072365.0,3.8642072677612305,1246418685.0
